site,season,level,most_importance_feature
东陵路,1,1,wind_N_lag1
东陵路,1,2,SO2_lag1
东陵路,1,3,SO2_lag1
东陵路,1,4,O3_lag1
东陵路,1,5,N0_lag1
东陵路,2,1,pressure_lag1
东陵路,2,2,SO2_lag1
东陵路,3,1,temperature_lag1
东陵路,3,2,PM10_lag1
东陵路,3,3,SO2_lag1
东陵路,3,4,CO_lag1
东陵路,3,5,PM10_lag1
东陵路,3,6,SO2_lag1
东陵路,4,1,pressure_lag1
东陵路,4,2,SO2_lag1
东陵路,4,3,PM10_lag1
东陵路,4,4,NO2_lag1
东陵路,4,5,wind_W_lag1
东陵路,4,6,wind_N_lag1
浑南东路,1,1,NO2_lag1
浑南东路,1,2,pressure_lag1
浑南东路,1,3,PM10_lag1
浑南东路,1,4,O3_lag1
浑南东路,1,5,humidity_lag1
浑南东路,1,6,PM10_lag1
浑南东路,2,1,NO2_lag1
浑南东路,2,2,pressure_lag1
浑南东路,3,1,pressure_lag1
浑南东路,3,2,SO2_lag1
浑南东路,3,3,NO2_lag1
浑南东路,3,4,SO2_lag1
浑南东路,3,5,SO2_lag1
浑南东路,3,6,SO2_lag1
浑南东路,4,1,NO2_lag1
浑南东路,4,2,pressure_lag1
浑南东路,4,3,SO2_lag1
浑南东路,4,4,SO2_lag1
浑南东路,4,5,temperature_lag1
浑南东路,4,6,SO2_lag1
京沈街,1,1,pressure_lag1
京沈街,1,2,SO2_lag1
京沈街,1,3,pressure_lag1
京沈街,1,4,SO2_lag1
京沈街,1,5,SO2_lag1
京沈街,1,6,NO2_lag1
京沈街,2,1,NO2_lag1
京沈街,2,2,pressure_lag1
京沈街,2,3,SO2_lag1
京沈街,3,1,NO2_lag1
京沈街,3,2,pressure_lag1
京沈街,3,3,N0_lag1
京沈街,3,4,pressure_lag1
京沈街,3,5,humidity_lag1
京沈街,4,1,PM10_lag1
京沈街,4,2,SO2_lag1
京沈街,4,3,PM10_lag1
京沈街,4,4,pressure_lag1
京沈街,4,5,SO2_lag1
陵东街,1,1,O3_lag1
陵东街,1,2,pressure_lag1
陵东街,1,3,humidity_lag1
陵东街,1,4,SO2_lag1
陵东街,1,5,SO2_lag1
陵东街,1,6,temperature_lag1
陵东街,2,1,pressure_lag1
陵东街,2,2,O3_lag1
陵东街,2,3,NOx_lag1
陵东街,3,1,NO2_lag1
陵东街,3,2,temperature_lag1
陵东街,3,3,SO2_lag1
陵东街,3,4,SO2_lag1
陵东街,3,5,O3_lag1
陵东街,3,6,SO2_lag1
陵东街,4,1,NO2_lag1
陵东街,4,2,wind_W_lag1
陵东街,4,3,SO2_lag1
陵东街,4,4,SO2_lag1
陵东街,4,5,SO2_lag1
陵东街,4,6,NO2_lag1
森林路,1,1,O3_lag1
森林路,1,2,pressure_lag1
森林路,1,3,pressure_lag1
森林路,1,4,O3_lag1
森林路,2,1,temperature_lag1
森林路,2,2,wind_W_lag1
森林路,3,1,pressure_lag1
森林路,3,2,temperature_lag1
森林路,3,3,NO2_lag1
森林路,3,4,SO2_lag1
森林路,3,5,SO2_lag1
森林路,3,6,NO2_lag1
森林路,4,1,pressure_lag1
森林路,4,2,temperature_lag1
森林路,4,3,SO2_lag1
森林路,4,4,SO2_lag1
森林路,4,5,N0_lag1
森林路,4,6,SO2_lag1
沈辽西路,1,1,temperature_lag1
沈辽西路,1,2,O3_lag1
沈辽西路,1,3,SO2_lag1
沈辽西路,1,4,humidity_lag1
沈辽西路,1,5,SO2_lag1
沈辽西路,1,6,NO2_lag1
沈辽西路,2,1,O3_lag1
沈辽西路,2,2,O3_lag1
沈辽西路,3,1,O3_lag1
沈辽西路,3,2,temperature_lag1
沈辽西路,3,3,PM10_lag1
沈辽西路,3,4,temperature_lag1
沈辽西路,3,5,SO2_lag1
沈辽西路,3,6,N0_lag1
沈辽西路,4,1,temperature_lag1
沈辽西路,4,2,temperature_lag1
沈辽西路,4,3,NO2_lag1
沈辽西路,4,4,pressure_lag1
沈辽西路,4,5,PM10_lag1
沈辽西路,4,6,temperature_lag1
太原街,1,1,NO2_lag1
太原街,1,2,SO2_lag1
太原街,1,3,NO2_lag1
太原街,1,4,NO2_lag1
太原街,1,5,NO2_lag1
太原街,2,1,O3_lag1
太原街,2,2,O3_lag1
太原街,2,3,NO2_lag1
太原街,3,1,NO2_lag1
太原街,3,2,NO2_lag1
太原街,3,3,humidity_lag1
太原街,3,4,SO2_lag1
太原街,3,5,N0_lag1
太原街,3,6,SO2_lag1
太原街,4,1,PM10_lag1
太原街,4,2,pressure_lag1
太原街,4,3,temperature_lag1
太原街,4,4,N0_lag1
太原街,4,5,PM10_lag1
文化路,1,1,pressure_lag1
文化路,1,2,pressure_lag1
文化路,1,3,humidity_lag1
文化路,1,4,PM10_lag1
文化路,1,5,SO2_lag1
文化路,2,1,pressure_lag1
文化路,2,2,O3_lag1
文化路,2,3,SO2_lag1
文化路,3,1,pressure_lag1
文化路,3,2,SO2_lag1
文化路,3,3,NO2_lag1
文化路,3,4,SO2_lag1
文化路,3,5,SO2_lag1
文化路,3,6,O3_lag1
文化路,4,1,pressure_lag1
文化路,4,2,temperature_lag1
文化路,4,3,SO2_lag1
文化路,4,4,pressure_lag1
文化路,4,5,SO2_lag1
文化路,4,6,pressure_lag1
小河沿,1,1,wind_E_lag1
小河沿,1,2,pressure_lag1
小河沿,1,3,pressure_lag1
小河沿,1,4,humidity_lag1
小河沿,1,5,temperature_lag1
小河沿,1,6,SO2_lag1
小河沿,2,1,O3_lag1
小河沿,2,2,pressure_lag1
小河沿,2,3,O3_lag1
小河沿,3,1,NO2_lag1
小河沿,3,2,SO2_lag1
小河沿,3,3,SO2_lag1
小河沿,3,4,SO2_lag1
小河沿,3,5,PM10_lag1
小河沿,3,6,SO2_lag1
小河沿,4,1,temperature_lag1
小河沿,4,2,temperature_lag1
小河沿,4,3,NO2_lag1
小河沿,4,4,NO2_lag1
小河沿,4,5,PM10_lag1
小河沿,4,6,NO2_lag1
新秀街,1,1,NO2_lag1
新秀街,1,2,pressure_lag1
新秀街,1,3,pressure_lag1
新秀街,1,4,SO2_lag1
新秀街,1,5,PM10_lag1
新秀街,1,6,SO2_lag1
新秀街,2,1,NO2_lag1
新秀街,2,2,temperature_lag1
新秀街,2,3,SO2_lag1
新秀街,3,1,NO2_lag1
新秀街,3,2,SO2_lag1
新秀街,3,3,pressure_lag1
新秀街,3,4,pressure_lag1
新秀街,3,5,SO2_lag1
新秀街,3,6,N0_lag1
新秀街,4,1,pressure_lag1
新秀街,4,2,pressure_lag1
新秀街,4,3,SO2_lag1
新秀街,4,4,NO2_lag1
新秀街,4,5,SO2_lag1
新秀街,4,6,O3_lag1
裕农路,1,1,N0_lag1
裕农路,1,2,SO2_lag1
裕农路,1,3,SO2_lag1
裕农路,1,4,PM10_lag1
裕农路,1,5,NOx_lag1
裕农路,2,1,NO2_lag1
裕农路,2,2,PM10_lag1
裕农路,3,1,temperature_lag1
裕农路,3,2,pressure_lag1
裕农路,3,3,SO2_lag1
裕农路,3,4,SO2_lag1
裕农路,3,5,wind_S_lag1
裕农路,3,6,SO2_lag1
裕农路,4,1,O3_lag1
裕农路,4,2,SO2_lag1
裕农路,4,3,pressure_lag1
裕农路,4,4,SO2_lag1
裕农路,4,5,humidity_lag1