,level,most_importance_feature,site,,,,,,
0,1,N0_lag1,1,,,,,,
1,1,NO2_lag1,14,,,,,,
2,1,O3_lag1,7,,,,,,
3,1,PM10_lag1,2,,,,NO2  ,pressure  ,O3  
4,1,pressure_lag1,12,,,,pressure  ,SO2  ,temperature  
5,1,temperature_lag1,6,,,,SO2  ,NO2  ,pressure  
6,1,wind_E_lag1,1,,,,SO2  ,pressure  ,NO2  
7,1,wind_N_lag1,1,,,,SO2  ,PM10  ,humidity  
8,2,NO2_lag1,1,,,,SO2  ,NO2  ,O3  
9,2,O3_lag1,5,,,,,,
10,2,PM10_lag1,2,,,,,,
11,2,SO2_lag1,12,,,,,,
12,2,pressure_lag1,14,,,,,,
13,2,temperature_lag1,8,,,,,,
14,2,wind_W_lag1,2,,,,,,
15,3,N0_lag1,1,,,,,,
16,3,NO2_lag1,7,,,,,,
17,3,NOx_lag1,1,,,,,,
18,3,O3_lag1,1,,,,,,
19,3,PM10_lag1,4,,,,,,
20,3,SO2_lag1,15,,,,,,
21,3,humidity_lag1,3,,,,,,
22,3,pressure_lag1,6,,,,,,
23,3,temperature_lag1,1,,,,,,
24,4,CO_lag1,1,,,,,,
25,4,N0_lag1,1,,,,,,
26,4,NO2_lag1,4,,,,,,
27,4,O3_lag1,3,,,,,,
28,4,PM10_lag1,2,,,,,,
29,4,SO2_lag1,14,,,,,,
30,4,humidity_lag1,2,,,,,,
31,4,pressure_lag1,5,,,,,,
32,4,temperature_lag1,1,,,,,,
33,5,N0_lag1,3,,,,,,
34,5,NO2_lag1,1,,,,,,
35,5,NOx_lag1,1,,,,,,
36,5,O3_lag1,1,,,,,,
37,5,PM10_lag1,6,,,,,,
38,5,SO2_lag1,13,,,,,,
39,5,humidity_lag1,3,,,,,,
40,5,temperature_lag1,2,,,,,,
41,5,wind_S_lag1,1,,,,,,
42,5,wind_W_lag1,1,,,,,,
43,6,N0_lag1,2,,,,,,
44,6,NO2_lag1,5,,,,,,
45,6,O3_lag1,2,,,,,,
46,6,PM10_lag1,1,,,,,,
47,6,SO2_lag1,10,,,,,,
48,6,pressure_lag1,1,,,,,,
49,6,temperature_lag1,2,,,,,,
50,6,wind_N_lag1,1,,,,,,